title,description,keyword,modified,publisher,person,mbox,identifier,accessLevel,dataDictionary,accessURL,format,webService,license,spatial,temporal,issued,accrualPeriodicity,language,granularity,dataQuality,theme,references,distribution,size,landingPage,feed,systemOfRecords,subagency,organizationName,organizationId,category,categoryDesignation,bibliographicCitation,comments,agencyProgramURL,agencyDataSeriesURL,phone,analysisUnit,additionalMetadata,collectionMode,collectionInstrument,dictionaryList,QualityResponsibleAgency,guidelineCompliance,confidentiality,numberOfDatasets,licenseRequirement,statisticalMethodology,sampling,estimation,weighting,disclosureAvoidance,questionnaireDesign,seriesBreaks,nonResponseAdjustment,seasonalAdjustment,isOGD,isAgencyOGD,isHighValue,reasonBeingHighValue,reasonBeingNew
"2000 Federal Register in XML","The Federal Register is the official daily publication for rules, proposed rules, and notices of Federal agencies and organizations, as well as executive orders and other presidential documents. Published by the Office of the Federal Register (OFR), National Archives and Records Administration (NARA), it is updated daily and is available Monday through Friday, except Federal holidays. Bulk data downloads of Federal Register files in XML format are available from 2000 to the present, by year, month, and day.

The current XML data set is not yet an official format of the Federal Register.  Only the PDF and Text versions have legal status as parts of the official online format of the Federal Register.  The XML-structured files are derived from SGML-tagged data and printing codes, which may produce anomalies in display. In addition, the XML data does not yet include image files. Users who require a higher level of assurance may wish to consult the official version of the Federal Register on <a href=""http://www.gpo.gov/"">FDsys.gov</a>.  The FDsys data set includes digitally signed Federal Register PDF files, which may be relied upon as evidence in a court of law. See:  <a href=""http://www.gpo.gov/fdsys/browse/collection.action?collectionCode=FR"">http://www.gpo.gov/fdsys/browse/collection.action?collectionCode=FR</a>","Rules, regulations, regs, proposed rules, notices, directives, guidelines, rule makings, meetings, presidential executive orders, presidential proclamations, Federal Register, Office of the Federal Register, OFR, National Archives and Records Administration, NARA, Government Printing Office, GPO, FDsys, XML",12/29/00,"National Archives and Records Administration",,opengov@nara.gov,NARA-954,public,http://www.federalregister.gov,http://www.gpo.gov/fdsys/bulkdata/FR/2000/FR-2000.zip,XML,,,,2000,01/19/00,Daily,,,,Other,http://www.gpo.gov/fdsys/bulkdata/FR/resources,Array,105,,,,"Office of the Federal Register","Office of the Federal Register, National Archives and Records Administration",gpo-gov,"Raw Data Catalog",Administrative,"<a href=""http://www.gpo.gov/fdsys/bulkdata/FR"">http://www.gpo.gov/fdsys/bulkdata/FR</a>",,"<a href=""http://www.federalregister.gov"">http://www.federalregister.gov</a>","<a href=""http://www.gpo.gov/fdsys/bulkdata/FR"">http://www.gpo.gov/fdsys/bulkdata/FR</a>",,"Notices, proposed rules, rules and regulations, presidential documents","<a href=""http://www.gpo.gov/fdsys/browse/collection.action?collectionCode=FR"">http://www.gpo.gov/fdsys/browse/collection.action?collectionCode=FR</a>",Computer,"<a href=""http://www.federalregister.gov"">http://www.federalregister.gov</a>","<a href=""http://www.federalregister.gov"">http://www.federalregister.gov</a>","National Archives and Records Administration (NARA), Office of the Federal Register (OFR)",Yes,Yes,1,,,,,,,,,,,N,N,N,,
"2010 Federal Register in XML","  The Federal Register is the official daily publication for rules, proposed rules, and notices of Federal agencies and organizations, as well as executive orders and other presidential documents. Published by the Office of the Federal Register (OFR), National Archives and Records Administration (NARA), it is updated daily and is available Monday through Friday, except Federal holidays. Bulk data downloads of Federal Register files in XML format are available from 2000 to the present, by year, month, and day. The current XML data set is not yet an official format of the Federal Register. Only the PDF and Text versions have legal status as parts of the official online format of the Federal Register. The XML-structured files are derived from SGML-tagged data and printing codes, which may produce anomalies in display. In addition, the XML data does not yet include image files. Users who require a higher level of assurance may wish to consult the official version of the Federal Register on FDsys.gov. The FDsys data set includes digitally signed Federal Register PDF files, which may be relied upon as evidence in a court of law. See: http://www.gpo.gov/fdsys/browse/collection.action?collectionCode=FR","Rules, regulations, regs, proposed rules, notices, directives, guidelines, rule makings, meetings, presidential executive orders, presidential proclamations, Federal Register, Office of the Federal Register, OFR, National Archives and Records Administrati","Monday through Friday, except Federal holidays. ","National Archives and Records Administration",,opengov@nara.gov,NARA-1325,public,http://www.federalregister.gov,http://www.gpo.gov/fdsys/bulkdata/FR/2010/FR-2010.zip,XML,,,USA,2010,04-Jan-2010,Daily,,,,Other,http://www.gpo.gov/fdsys/bulkdata/FR/resources,Array,100.0,,,,"Office of the Federal Register","Office of the Federal Register, National Archives and Records Administration",gpo-gov,"Raw Data Catalog",Administrative,http://www.gpo.gov/fdsys/bulkdata/FR,,http://www.federalregister.gov,http://www.gpo.gov/fdsys/bulkdata/FR,,"Notices, proposed rules, rules and regulations, presidential documents",http://www.gpo.gov/fdsys/browse/collection.action?collectionCode=FR,Computer,http://www.federalregister.gov,http://www.federalregister.gov,"National Archives and Records Administration (NARA), Office of the Federal Register (OFR)",Yes,Yes,0,,,,,,,,,,,Y,N,Y,,
"2009 Code of Federal Regulations in XML","The Code of Federal Regulations (CFR) is the codification of the general and permanent rules published in the Federal Register by the executive departments and agencies of the Federal Government. It is divided into 50 titles that represent broad areas subject to Federal regulation. Each print volume of the CFR is updated once each calendar year, and is issued on a quarterly basis. Bulk data downloads of Code of Federal Regulations files in XML format are available from 2007 to the present, by year, title, and volume. The current XML data set is not yet an official format of the Code of Federal Regulations. Only the PDF and Text versions have legal status as parts of the official online format of the Code of Federal Regulations. The XML-structured files are derived from SGML-tagged data and printing codes, which may produce anomalies in display. In addition, the XML data does not yet include image files. Users who require a higher level of assurance may wish to consult the official version of the Code of Federal Reulations on FDsys.gov. The FDsys data set includes digitally signed Code of Federal Regulations PDF files, which may be relied upon as evidence in a court of law. See: http://www.gpo.gov/fdsys/browse/collectionCfr.action?collectionCode=CFR","Regulations, regulation, regs, directives, guidelines, rule makings, CFR, Code of Federal Regulations, Office of the Federal Register, OFR, National Archives and Records Administration, NARA, Government Printing Office, GPO, FDsys, XML",31-Dec-2009,"National Archives and Records Administration",,opengov@nara.gov,NARA-1326,public,http://www.federalregister.gov,http://www.gpo.gov/fdsys/bulkdata/CFR/2009/CFR-2009.zip,XML,,,USA,2009,11-Jan-2010,Daily,,,,Other,http://www.gpo.gov/fdsys/bulkdata/CFR/resources,Array,108.0,,,,"Office of the Federal Register","Office of the Federal Register, National Archives and Records Administration",gpo-gov,"Raw Data Catalog",Administrative,http://www.gpo.gov/fdsys/bulkdata/CFR,,http://www.federalregister.gov,http://www.gpo.gov/fdsys/bulkdata/CFR,,"Titles, chapters, parts, sections",http://www.gpo.gov/fdsys/browse/collectionCfr.action?collectionCode=CFR,Computer,http://www.federalregister.gov,http://www.federalregister.gov,"National Archives and Records Administration (NARA), Office of the Federal Register (OFR)",Yes,Yes,0,,,,,,,,,,,Y,N,Y,,
"2008 Code of Federal Regulations in XML","The Code of Federal Regulations (CFR) is the codification of the general and permanent rules published in the Federal Register by the executive departments and agencies of the Federal Government. It is divided into 50 titles that represent broad areas subject to Federal regulation. Each print volume of the CFR is updated once each calendar year, and is issued on a quarterly basis. Bulk data downloads of Code of Federal Regulations files in XML format are available from 2007 to the present, by year, title, and volume. The current XML data set is not yet an official format of the Code of Federal Regulations. Only the PDF and Text versions have legal status as parts of the official online format of the Code of Federal Regulations. The XML-structured files are derived from SGML-tagged data and printing codes, which may produce anomalies in display. In addition, the XML data does not yet include image files. Users who require a higher level of assurance may wish to consult the official version of the Code of Federal Reulations on FDsys.gov. The FDsys data set includes digitally signed Code of Federal Regulations PDF files, which may be relied upon as evidence in a court of law. See: http://www.gpo.gov/fdsys/browse/collectionCfr.action?collectionCode=CFR","Regulations, regulation, regs, directives, guidelines, rule makings, CFR, Code of Federal Regulations, Office of the Federal Register, OFR, National Archives and Records Administration, NARA, Government Printing Office, GPO, FDsys, XML",31-Dec-2008,"National Archives and Records Administration",,opengov@nara.gov,NARA-1327,public,http://www.federalregister.gov,http://www.gpo.gov/fdsys/bulkdata/CFR/2008/CFR-2008.zip,XML,,,USA,2008,11-Jan-2010,Daily,,,,Other,http://www.gpo.gov/fdsys/bulkdata/CFR/resources,Array,142.0,,,,"Office of the Federal Register","Office of the Federal Register, National Archives and Records Administration",gpo-gov,"Raw Data Catalog",Administrative,http://www.gpo.gov/fdsys/bulkdata/CFR,,http://www.federalregister.gov,http://www.gpo.gov/fdsys/bulkdata/CFR,,"Titles, chapters, parts, sections",http://www.gpo.gov/fdsys/browse/collectionCfr.action?collectionCode=CFR,Computer,http://www.federalregister.gov,http://www.federalregister.gov,"National Archives and Records Administration (NARA), Office of the Federal Register (OFR)",Yes,Yes,0,,,,,,,,,,,Y,N,Y,,
"2007 Code of Federal Regulations in XML","The Code of Federal Regulations (CFR) is the codification of the general and permanent rules published in the Federal Register by the executive departments and agencies of the Federal Government. It is divided into 50 titles that represent broad areas subject to Federal regulation. Each print volume of the CFR is updated once each calendar year, and is issued on a quarterly basis. Bulk data downloads of Code of Federal Regulations files in XML format are available from 2007 to the present, by year, title, and volume. The current XML data set is not yet an official format of the Code of Federal Regulations. Only the PDF and Text versions have legal status as parts of the official online format of the Code of Federal Regulations. The XML-structured files are derived from SGML-tagged data and printing codes, which may produce anomalies in display. In addition, the XML data does not yet include image files. Users who require a higher level of assurance may wish to consult the official version of the Code of Federal Reulations on FDsys.gov. The FDsys data set includes digitally signed Code of Federal Regulations PDF files, which may be relied upon as evidence in a court of law. See: http://www.gpo.gov/fdsys/browse/collectionCfr.action?collectionCode=CFR","Regulations, regulation, regs, directives, guidelines, rule makings, CFR, Code of Federal Regulations, Office of the Federal Register, OFR, National Archives and Records Administration, NARA, Government Printing Office, GPO, FDsys, XML",31-Dec-2007,"National Archives and Records Administration",,opengov@nara.gov,NARA-1328,public,http://www.federalregister.gov,http://www.gpo.gov/fdsys/bulkdata/CFR/2007/CFR-2007.zip,XML,,,USA,2007,11-Jan-2010,Daily,,,,Other,http://www.gpo.gov/fdsys/bulkdata/CFR/resources,Array,132.0,,,,"Office of the Federal Register","Office of the Federal Register, National Archives and Records Administration",gpo-gov,"Raw Data Catalog",Administrative,http://www.gpo.gov/fdsys/bulkdata/CFR,,http://www.federalregister.gov,http://www.gpo.gov/fdsys/bulkdata/CFR,,"Titles, chapters, parts, sections",http://www.gpo.gov/fdsys/browse/collectionCfr.action?collectionCode=CFR,Computer,http://www.federalregister.gov,http://www.federalregister.gov,"National Archives and Records Administration (NARA), Office of the Federal Register (OFR)",Yes,Yes,0,,,,,,,,,,,Y,N,Y,,
"Archival Research Catalog (ARC) Archival Descriptions","The Archival Research Catalog (ARC) data set provides archival descriptions of the permanent holdings of the federal government in the custody of the National Archives and Records administration. The archival descriptions include information on traditional paper holdings, logical data records (electronic records), and artifacts.","ARC, Archival Research Catalog, NARA, National Archives, history, historical research, research, family history, genealogy",13-Mar-2013,"National Archives and Records Administration",,opengov@nara.gov,NARA-1357,public,http://www.archives.gov/research/arc/lifecycle-data-requirements.doc,http://www.archives.gov/open/dataset-arc.html,XML,,,Global,"ca. 100 AD - Present",16-Sep-2002,Annually,,,,Other,http://www.archives.gov/open/dataset-arc.html,Array,"789 MB",,,,,"National Archives and Records Administration",nara-gov,"Raw Data Catalog",Research,http://www.archives.gov/open/dataset-arc.html,,http://www.archives.gov/research/arc/,http://www.archives.gov/research/arc/,,"Federal Government",,"paper, computer",http://www.archives.gov/research/arc/,http://www.archives.gov/research/arc/lifecycle-data-requirements.doc,"National Archives and Records Administration",Yes,Yes,1,,,,,,,,,,,Y,Y,Y,,
"Organization Authority File","The Organization Authority Files data set contains a highly detailed presentation of the evolution of names and administrative histories of Federal and non-Federal organizations. It is used by the National Archives and Records Administration as a source of access points for indexing archival descriptions and/or other authority records with consistent headings.","Organization Authority File, Organization Names, Organizations, ARC, Archival Research Catalog, NARA, National Archives, administrative history",13-Mar-2013,"National Archives and Records Administration",,opengov@nara.gov,NARA-1358,public,http://www.archives.gov/research/arc/lifecycle-data-requirements.doc,http://www.archives.gov/open/data/arcwebexport13mar2013-org.tar.gz,XML,,,Global,"ca. 1509 - Present",16-Sep-2002,Annually,,,,Other,http://www.archives.gov/open/dataset-org.html,Array,"83 MB",,,,,"National Archives and Records Administration",nara-gov,"Raw Data Catalog",Research,http://www.archives.gov/open/data/arcwebexport13mar2013-org.tar.gz,,http://www.archives.gov/research/arc/,http://www.archives.gov/research/arc/,,"Organization Names",,"paper, computer",http://www.archives.gov/research/arc/,http://www.archives.gov/research/arc/lifecycle-data-requirements.doc,"National Archives and Records Administration",Yes,Yes,1,,,,,,,,,,,Y,Y,Y,,
"2010 Code of Federal Regulations in XML","The Code of Federal Regulations (CFR) is the codification of the general and permanent rules published in the Federal Register by the executive departments and agencies of the Federal Government. It is divided into 50 titles that represent broad areas subject to Federal regulation. Each print volume of the CFR is updated once each calendar year, and is issued on a quarterly basis. Bulk data downloads of Code of Federal Regulations files in XML format are available from 2000 to the present, by year, title, and volume. The current XML data set is not yet an official format of the Code of Federal Regulations. Only the PDF and Text versions have legal status as parts of the official online format of the Code of Federal Regulations. The XML-structured files are derived from SGML-tagged data and printing codes, which may produce anomalies in display. In addition, the XML data does not yet include image files. Users who require a higher level of assurance may wish to consult the official version of the Code of Federal Reulations on FDsys.gov. The FDsys data set includes digitally signed Code of Federal Regulations PDF files, which may be relied upon as evidence in a court of law. See: http://www.gpo.gov/fdsys/browse/collectionCfr.action?collectionCode=CFR","Regulations, regulation, regs, directives, guidelines, rule makings, CFR, Code of Federal Regulations, Office of the Federal Register, OFR, National Archives and Records Administration, NARA, Government Printing Office, GPO, FDsys, XML",05/05/10,"National Archives and Records Administration",,opengov@nara.gov,NARA-2175,public,http://www.federalregister.gov,http://www.gpo.gov/fdsys/bulkdata/CFR/2010/CFR-2010.zip,XML,,,USA,2010,05/05/10,Yearly,,,,Other,http://www.gpo.gov/fdsys/bulkdata/CFR/resources,Array,10,,,,"Office of the Federal Register","Office of the Federal Register, National Archives and Records Administration",gpo-gov,"Raw Data Catalog",Administrative,http://www.gpo.gov/fdsys/bulkdata/CFR,,http://www.federalregister.gov,http://www.gpo.gov/fdsys/bulkdata/CFR,,"Titles, chapters, parts, sections",http://www.gpo.gov/fdsys/browse/collectionCfr.action?selectedYearFrom=2010&page.go=Go,Computer,http://www.federalregister.gov,http://www.federalregister.gov,"National Archives and Records Administration (NARA), Office of the Federal Register (OFR)",Yes,Yes,1,,,,,,,,,,,N,N,N,,
"2006 Code of Federal Regulations in XML","The Code of Federal Regulations (CFR) is the codification of the general and permanent rules published in the Federal Register by the executive departments and agencies of the Federal Government. It is divided into 50 titles that represent broad areas subject to Federal regulation. Each print volume of the CFR is updated once each calendar year, and is issued on a quarterly basis. Bulk data downloads of Code of Federal Regulations files in XML format are available from 2000 to the present, by year, title, and volume. The current XML data set is not yet an official format of the Code of Federal Regulations. Only the PDF and Text versions have legal status as parts of the official online format of the Code of Federal Regulations. The XML-structured files are derived from SGML-tagged data and printing codes, which may produce anomalies in display. In addition, the XML data does not yet include image files. Users who require a higher level of assurance may wish to consult the official version of the Code of Federal Reulations on FDsys.gov. The FDsys data set includes digitally signed Code of Federal Regulations PDF files, which may be relied upon as evidence in a court of law. See: http://www.gpo.gov/fdsys/browse/collectionCfr.action?collectionCode=CFR","Regulations, regulation, regs, directives, guidelines, rule makings, CFR, Code of Federal Regulations, Office of the Federal Register, OFR, National Archives and Records Administration, NARA, Government Printing Office, GPO, FDsys, XML",05/05/10,"National Archives and Records Administration",,opengov@nara.gov,NARA-2176,public,http://www.federalregister.gov,http://www.gpo.gov/fdsys/bulkdata/CFR/2006/CFR-2006.zip,XML,,,USA,2006,12/31/06,Yearly,,,,Other,http://www.gpo.gov/fdsys/bulkdata/CFR/resources,Array,132,,,,"Office of the Federal Register","Office of the Federal Register, National Archives and Records Administration",gpo-gov,"Raw Data Catalog",Administrative,http://www.gpo.gov/fdsys/bulkdata/CFR,,http://www.federalregister.gov,http://www.gpo.gov/fdsys/bulkdata/CFR,,"Titles, chapters, parts, sections",http://www.gpo.gov/fdsys/browse/collectionCfr.action?selectedYearFrom=2006&page.go=Go,Computer,http://www.federalregister.gov,http://www.federalregister.gov,"National Archives and Records Administration (NARA), Office of the Federal Register (OFR)",Yes,Yes,1,,,,,,,,,,,N,N,N,,
"2005 Code of Federal Regulations in XML","The Code of Federal Regulations (CFR) is the codification of the general and permanent rules published in the Federal Register by the executive departments and agencies of the Federal Government. It is divided into 50 titles that represent broad areas subject to Federal regulation. Each print volume of the CFR is updated once each calendar year, and is issued on a quarterly basis. Bulk data downloads of Code of Federal Regulations files in XML format are available from 2000 to the present, by year, title, and volume. The current XML data set is not yet an official format of the Code of Federal Regulations. Only the PDF and Text versions have legal status as parts of the official online format of the Code of Federal Regulations. The XML-structured files are derived from SGML-tagged data and printing codes, which may produce anomalies in display. In addition, the XML data does not yet include image files. Users who require a higher level of assurance may wish to consult the official version of the Code of Federal Reulations on FDsys.gov. The FDsys data set includes digitally signed Code of Federal Regulations PDF files, which may be relied upon as evidence in a court of law. See: http://www.gpo.gov/fdsys/browse/collectionCfr.action?collectionCode=CFR","Regulations, regulation, regs, directives, guidelines, rule makings, CFR, Code of Federal Regulations, Office of the Federal Register, OFR, National Archives and Records Administration, NARA, Government Printing Office, GPO, FDsys, XML",05/05/10,"National Archives and Records Administration",,opengov@nara.gov,NARA-2177,public,http://www.federalregister.gov,http://www.gpo.gov/fdsys/bulkdata/CFR/2005/CFR-2005.zip,XML,,,USA,2005,12/31/05,Yearly,,,,Other,http://www.gpo.gov/fdsys/bulkdata/CFR/resources,Array,132,,,,"Office of the Federal Register","Office of the Federal Register, National Archives and Records Administration",gpo-gov,"Raw Data Catalog",Administrative,http://www.gpo.gov/fdsys/bulkdata/CFR,,http://www.federalregister.gov,http://www.gpo.gov/fdsys/bulkdata/CFR,,"Titles, chapters, parts, sections",http://www.gpo.gov/fdsys/browse/collectionCfr.action?selectedYearFrom=2005&page.go=Go,Computer,http://www.federalregister.gov,http://www.federalregister.gov,"National Archives and Records Administration (NARA), Office of the Federal Register (OFR)",Yes,Yes,1,,,,,,,,,,,N,N,N,,
"2004 Code of Federal Regulations in XML","The Code of Federal Regulations (CFR) is the codification of the general and permanent rules published in the Federal Register by the executive departments and agencies of the Federal Government. It is divided into 50 titles that represent broad areas subject to Federal regulation. Each print volume of the CFR is updated once each calendar year, and is issued on a quarterly basis. Bulk data downloads of Code of Federal Regulations files in XML format are available from 2000 to the present, by year, title, and volume. The current XML data set is not yet an official format of the Code of Federal Regulations. Only the PDF and Text versions have legal status as parts of the official online format of the Code of Federal Regulations. The XML-structured files are derived from SGML-tagged data and printing codes, which may produce anomalies in display. In addition, the XML data does not yet include image files. Users who require a higher level of assurance may wish to consult the official version of the Code of Federal Reulations on FDsys.gov. The FDsys data set includes digitally signed Code of Federal Regulations PDF files, which may be relied upon as evidence in a court of law. See: http://www.gpo.gov/fdsys/browse/collectionCfr.action?collectionCode=CFR","Regulations, regulation, regs, directives, guidelines, rule makings, CFR, Code of Federal Regulations, Office of the Federal Register, OFR, National Archives and Records Administration, NARA, Government Printing Office, GPO, FDsys, XML",12/31/04,"National Archives and Records Administration",,opengov@nara.gov,NARA-2178,public,http://www.federalregister.gov,http://www.gpo.gov/fdsys/bulkdata/CFR/2004/CFR-2004.zip,XML,,,USA,2004,05/05/10,Yearly,,,,Other,http://www.gpo.gov/fdsys/bulkdata/CFR/resources,Array,130,,,,"Office of the Federal Register","Office of the Federal Register, National Archives and Records Administration",gpo-gov,"Raw Data Catalog",Administrative,http://www.gpo.gov/fdsys/bulkdata/CFR,,http://www.federalregister.gov,http://www.gpo.gov/fdsys/bulkdata/CFR,,"Titles, chapters, parts, sections",http://www.gpo.gov/fdsys/browse/collectionCfr.action?selectedYearFrom=2004&page.go=Go,Computer,http://www.federalregister.gov,http://www.federalregister.gov,"National Archives and Records Administration (NARA), Office of the Federal Register (OFR)",Yes,Yes,1,,,,,,,,,,,N,N,N,,
"2003 Code of Federal Regulations in XML","The Code of Federal Regulations (CFR) is the codification of the general and permanent rules published in the Federal Register by the executive departments and agencies of the Federal Government. It is divided into 50 titles that represent broad areas subject to Federal regulation. Each print volume of the CFR is updated once each calendar year, and is issued on a quarterly basis. Bulk data downloads of Code of Federal Regulations files in XML format are available from 2000 to the present, by year, title, and volume. The current XML data set is not yet an official format of the Code of Federal Regulations. Only the PDF and Text versions have legal status as parts of the official online format of the Code of Federal Regulations. The XML-structured files are derived from SGML-tagged data and printing codes, which may produce anomalies in display. In addition, the XML data does not yet include image files. Users who require a higher level of assurance may wish to consult the official version of the Code of Federal Regulations on FDsys.gov. The FDsys data set includes digitally signed Code of Federal Regulations PDF files, which may be relied upon as evidence in a court of law. See: http://www.gpo.gov/fdsys/browse/collectionCfr.action?collectionCode=CFR","Regulations, regulation, regs, directives, guidelines, rule makings, CFR, Code of Federal Regulations, Office of the Federal Register, OFR, National Archives and Records Administration, NARA, Government Printing Office, GPO, FDsys, XML",05/05/10,"National Archives and Records Administration",,opengov@nara.gov,NARA-2179,public,http://www.federalregister.gov,http://www.gpo.gov/fdsys/bulkdata/CFR/2003/CFR-2003.zip,XML,,,USA,2003,12/31/03,Yearly,,,,Other,http://www.gpo.gov/fdsys/bulkdata/CFR/resources,Array,126,,,,"Office of the Federal Register","Office of the Federal Register, National Archives and Records Administration",gpo-gov,"Raw Data Catalog",Administrative,http://www.gpo.gov/fdsys/bulkdata/CFR,,http://www.federalregister.gov,http://www.gpo.gov/fdsys/bulkdata/CFR,,"Titles, chapters, parts, sections",http://www.gpo.gov/fdsys/browse/collectionCfr.action?selectedYearFrom=2003&page.go=Go,Computer,http://www.federalregister.gov,http://www.federalregister.gov,"National Archives and Records Administration (NARA), Office of the Federal Register (OFR)",Yes,Yes,1,,,,,,,,,,,N,N,N,,
"2002 Code of Federal Regulations in XML","The Code of Federal Regulations (CFR) is the codification of the general and permanent rules published in the Federal Register by the executive departments and agencies of the Federal Government. It is divided into 50 titles that represent broad areas subject to Federal regulation. Each print volume of the CFR is updated once each calendar year, and is issued on a quarterly basis. Bulk data downloads of Code of Federal Regulations files in XML format are available from 2000 to the present, by year, title, and volume. The current XML data set is not yet an official format of the Code of Federal Regulations. Only the PDF and Text versions have legal status as parts of the official online format of the Code of Federal Regulations. The XML-structured files are derived from SGML-tagged data and printing codes, which may produce anomalies in display. In addition, the XML data does not yet include image files. Users who require a higher level of assurance may wish to consult the official version of the Code of Federal Regulations on FDsys.gov. The FDsys data set includes digitally signed Code of Federal Regulations PDF files, which may be relied upon as evidence in a court of law. See: http://www.gpo.gov/fdsys/browse/collectionCfr.action?collectionCode=CFR","Regulations, regulation, regs, directives, guidelines, rule makings, CFR, Code of Federal Regulations, Office of the Federal Register, OFR, National Archives and Records Administration, NARA, Government Printing Office, GPO, FDsys, XML",05/05/10,"National Archives and Records Administration",,opengov@nara.gov,NARA-2180,public,http://www.federalregister.gov,http://www.gpo.gov/fdsys/bulkdata/CFR/2002/CFR-2002.zip,XML,,,USA,2002,12/31/02,Yearly,,,,Other,http://www.gpo.gov/fdsys/bulkdata/CFR/resources,Array,111,,,,"Office of the Federal Register","Office of the Federal Register, National Archives and Records Administration",gpo-gov,"Raw Data Catalog",Administrative,http://www.gpo.gov/fdsys/bulkdata/CFR,,http://www.federalregister.gov,http://www.gpo.gov/fdsys/bulkdata/CFR,,"Titles, chapters, parts, sections",http://www.gpo.gov/fdsys/browse/collectionCfr.action?selectedYearFrom=2002&page.go=Go,Computer,http://www.federalregister.gov,http://www.federalregister.gov,"National Archives and Records Administration (NARA), Office of the Federal Register (OFR)",Yes,Yes,1,,,,,,,,,,,N,N,N,,
"2001 Code of Federal Regulations in XML","The Code of Federal Regulations (CFR) is the codification of the general and permanent rules published in the Federal Register by the executive departments and agencies of the Federal Government. It is divided into 50 titles that represent broad areas subject to Federal regulation. Each print volume of the CFR is updated once each calendar year, and is issued on a quarterly basis. Bulk data downloads of Code of Federal Regulations files in XML format are available from 2000 to the present, by year, title, and volume. The current XML data set is not yet an official format of the Code of Federal Regulations. Only the PDF and Text versions have legal status as parts of the official online format of the Code of Federal Regulations. The XML-structured files are derived from SGML-tagged data and printing codes, which may produce anomalies in display. In addition, the XML data does not yet include image files. Users who require a higher level of assurance may wish to consult the official version of the Code of Federal Regulations on FDsys.gov. The FDsys data set includes digitally signed Code of Federal Regulations PDF files, which may be relied upon as evidence in a court of law. See: http://www.gpo.gov/fdsys/browse/collectionCfr.action?collectionCode=CFR","Regulations, regulation, regs, directives, guidelines, rule makings, CFR, Code of Federal Regulations, Office of the Federal Register, OFR, National Archives and Records Administration, NARA, Government Printing Office, GPO, FDsys, XML",05/05/10,"National Archives and Records Administration",,opengov@nara.gov,NARA-2181,public,http://www.federalregister.gov,http://www.gpo.gov/fdsys/bulkdata/CFR/2001/CFR-2001.zip,XML,,,USA,2001,12/31/01,Yearly,,,,Other,http://www.gpo.gov/fdsys/bulkdata/CFR/resources,Array,127,,,,"Office of the Federal Register","Office of the Federal Register, National Archives and Records Administration",gpo-gov,"Raw Data Catalog",Administrative,http://www.gpo.gov/fdsys/bulkdata/CFR,,http://www.federalregister.gov,http://www.gpo.gov/fdsys/bulkdata/CFR,,"Titles, chapters, parts, sections",http://www.gpo.gov/fdsys/browse/collectionCfr.action?selectedYearFrom=2001&page.go=Go,Computer,http://www.federalregister.gov,http://www.federalregister.gov,"National Archives and Records Administration (NARA), Office of the Federal Register (OFR)",Yes,Yes,1,,,,,,,,,,,N,N,N,,
"2000 Code of Federal Regulations in XML","The Code of Federal Regulations (CFR) is the codification of the general and permanent rules published in the Federal Register by the executive departments and agencies of the Federal Government. It is divided into 50 titles that represent broad areas subject to Federal regulation. Each print volume of the CFR is updated once each calendar year, and is issued on a quarterly basis. Bulk data downloads of Code of Federal Regulations files in XML format are available from 2000 to the present, by year, title, and volume. The current XML data set is not yet an official format of the Code of Federal Regulations. Only the PDF and Text versions have legal status as parts of the official online format of the Code of Federal Regulations. The XML-structured files are derived from SGML-tagged data and printing codes, which may produce anomalies in display. In addition, the XML data does not yet include image files. Users who require a higher level of assurance may wish to consult the official version of the Code of Federal Regulations on FDsys.gov. The FDsys data set includes digitally signed Code of Federal Regulations PDF files, which may be relied upon as evidence in a court of law. See: http://www.gpo.gov/fdsys/browse/collectionCfr.action?collectionCode=CFR","Regulations, regulation, regs, directives, guidelines, rule makings, CFR, Code of Federal Regulations, Office of the Federal Register, OFR, National Archives and Records Administration, NARA, Government Printing Office, GPO, FDsys, XML",05/05/10,"National Archives and Records Administration",,opengov@nara.gov,NARA-2182,public,http://www.federalregister.gov,http://www.gpo.gov/fdsys/bulkdata/CFR/2000/CFR-2000.zip,XML,,,USA,2000,12/31/00,Yearly,,,,Other,http://www.gpo.gov/fdsys/bulkdata/CFR/resources,Array,121,,,,"Office of the Federal Register","Office of the Federal Register, National Archives and Records Administration",gpo-gov,"Raw Data Catalog",Administrative,http://www.gpo.gov/fdsys/bulkdata/CFR,,http://www.federalregister.gov,http://www.gpo.gov/fdsys/bulkdata/CFR,,"Titles, chapters, parts, sections",http://www.gpo.gov/fdsys/browse/collectionCfr.action?selectedYearFrom=2000&page.go=Go,Computer,http://www.federalregister.gov,http://www.federalregister.gov,"National Archives and Records Administration (NARA), Office of the Federal Register (OFR)",Yes,Yes,1,,,,,,,,,,,N,N,N,,
