title,description,keyword,modified,publisher,person,mbox,identifier,accessLevel,dataDictionary,accessURL,format,webService,license,spatial,temporal,issued,accrualPeriodicity,language,granularity,dataQuality,theme,references,distribution,size,landingPage,feed,systemOfRecords,subagency,organizationName,organizationId,category,categoryDesignation,bibliographicCitation,comments,agencyProgramURL,agencyDataSeriesURL,phone,analysisUnit,additionalMetadata,collectionMode,collectionInstrument,dictionaryList,QualityResponsibleAgency,guidelineCompliance,confidentiality,numberOfDatasets,licenseRequirement,statisticalMethodology,sampling,estimation,weighting,disclosureAvoidance,questionnaireDesign,seriesBreaks,nonResponseAdjustment,seasonalAdjustment,isOGD,isAgencyOGD,isHighValue,reasonBeingHighValue,reasonBeingNew
"U.S. Global Change Research Program Budget Crosscut","U.S. Global Change Research Program budget authority for Agency activities in which the primary focus is on:Observations, research, and analysis of climatechange and its underlying causes, managing data in support of climate researchand applications, modeling and predicting climate change and its impacts at global, regional, and local scales, analyses of climate impacts, the vulnerabilityof ecosystems, human health, andsocioeconomic activity to climate, andimplications and efficacy of adaptation options, decision support tools that inform climateadaptation and mitigation.  This crosscutdoes not include activities that implementadaptation and mitigation strategies.Communication of information related to theaforementioned activities.Procurement, acquisition, and construction in support of activities mentioned above should also be included if the project primarily supports climate science.P.L. 101606 requires this program crosscut.","USGCRP,  budget, crosscut, global change, climate change, research, SGCRP, OSP ",21-Jan-2010,"Executive Office of the President","Rick Weiss",rweiss@ostp.eop.gov,EOP-1557,public,http://www.globalchange.gov/publications/our-changing-planet-ocp,http://www.whitehouse.gov/galleries/opengov/SGCR-crosscut-1989-2010_updated3.xls,XLS,,,N/A,1989-2010,21-Jan-2010,annual,,N/A,,"Section 6. Geography and Environment","http://www.globalchange.gov/publications/our-changing-planet-ocp, http://www.gao.gov/new.items/d05461.pdf",Array,.06,,,,"Office of Science and Technology Policy","Office of Science and Technology Policy, Executive Office of the President",ostp-eop-gov,"Raw Data Catalog",Administrative,"U.S. Global Change Research Program Annual Report - Our Changing Planet FY(xy)",,http://www.globalchange.gov,http://ostp.gov/,202-456-6037," Individual Agency Discretionary Budget Authority in million of dollars for the U.S. Global change Research Program budget crosscut",,"person/computer, web",N/A,http://www.globalchange.gov/publications/our-changing-planet-ocp,"Office of Science and Technology Policy, Executive Office of the President ",Yes,Yes,1,,,,,,,,,,,Y,N,Y,,
"History of Economic Forecasts","History of Economic Forecasts","Economic Forecasts",14-Feb-2011,"Executive Office of the President","Renee Austin",raustin@omb.eop.gov,EOP-1561,public,N/A,http://www.whitehouse.gov/sites/default/files/omb/budget/fy2012/assets/historicadministrationforecasts.xls,XLS,,,USA,"FY1976 to FY2012 Budgets",22-Jan-2010,"Annual Budget of the President",,,,"Section 9. Federal Government Finances and Employment",http://www.whitehouse.gov/omb/budget/Supplemental/,Array,0.5,,,,"Office of Management and Budget","Office of Management and Budget, Executive Office of the President",omb-eop-gov,"Raw Data Catalog",Other,"This data was collected by the Office of Management and Budget from all Budgets submitted since FY1976.  During transition years, it includes both incoming and outgoing Administration budgets.",,http://whitehouse.gov/omb/budget,http://www.whitehouse.gov/omb/budget/Supplemental/,202-395-4628,N/A,,person/computer,N/A,N/A,OMB,Yes,Yes,1,,,,,,,,,,,Y,N,Y,,
"FY09-FY10 NITRD Budget Cross Cut","This data set represents a cross cut of 13 Federal agencies R&D budget in the area of networking and information technology for FY09 and FY10 brokendown by Program Componet Areas.","NITRD, networking, information technology, research & development, budget","Feb. 2008 and May 2009","Executive Office of the President","Rick Weiss",rweiss@ostp.eop.gov,EOP-1562,public,http://www.nitrd.gov/pubs/bluebooks/index.aspx,http://www.ostp.gov/galleries/opengov/Supp%20NITRD%20Budgets%20Cross%20Cut%20FY09%20FY10.xls,XLS,,,"National ","FY2009 thru FY2010","Feb. 2008 and May 2009",annual,,National,,"Section 16. Science and Technology",http://www.nitrd.gov/pubs/bluebooks/index.aspx,Array,.225,,,,"Office of Science and Technology Policy","Office of Science and Technology Policy, Executive Office of the President",ostp-eop-gov,"Raw Data Catalog",Other,http://www.nitrd.gov/pubs/bluebooks/index.aspx,,http://www.nitrd.gov,http://www.nitrd.gov/pubs/bluebooks/index.aspx,202-456-6037,"agency and program component area",http://www.nitrd.gov/pubs/bluebooks/index.aspx,"phone/computer, person/computer, person/paper",http://www.nitrd.gov/pubs/bluebooks/index.aspx,http://www.nitrd.gov/pubs/bluebooks/index.aspx,NCO/NITRD,Yes,Yes,1,,,,,,,,,,,Y,N,Y,,
"FY09-FY10 NITRD Budget Cross Cut","This data set represents a cross cut of 13 Federal agencies R&D budget in the area of networking and information technology for FY09 and FY10 brokendown by Program Componet Areas.","NITRD, networking, information technology, research & development, budget",01/22/2010,"Executive Office of the President","Rick Weiss",rweiss@ostp.eop.gov,EOP-1592,public,http://www.nitrd.gov/pubs/bluebooks/index.aspx,"http://www.whitehouse.gov/galleries/opengov/FY09FY10 Supp NITRD Budgets Cross Cut - CSV.xls",CSV,,,National,2009-2010,01/22/2010,annual,,National,,"Section 16. Science and Technology",http://www.nitrd.gov/pubs/bluebooks/index.aspx,Array,.034,,,,"Office of Science and Technology Policy","Office of Science and Technology Policy, Executive Office of the President",ostp-eop-gov,"Raw Data Catalog",Other,http://www.nitrd.gov/pubs/bluebooks/index.aspx,,http://www.nitrd.gov,http://www.ostp.gov/cs/open_government/datagov,202-456-6037,"agency and program component area",http://www.nitrd.gov/pubs/bluebooks/index.aspx,"phone/computer, person/computer, person/paper",http://www.nitrd.gov/pubs/bluebooks/index.aspx,http://www.nitrd.gov/pubs/bluebooks/index.aspx,NCO/NITRD,Yes,Yes,0,,,,,,,,,,,Y,N,N,,
"Improper Payments Database","Contains information on improper payments for programs found to be susceptible to improper payments under the Improper Payments Information Act of 2002 (IPIA).","Improper Payments, OFFM, IPIA, Recovery Auditing Act, Reduction Targets, Errors",22-Jan-2010,"Executive Office of the President","Joe Pika, Policy Analyst, 202-395-1040, joseph_t._pika@omb.eop.gov",,EOP-1619,public,http://www.whitehouse.gov/omb/financial/improper_payment_dataset/,http://www.whitehouse.gov/omb/asset.aspx?AssetId=2290,CSV,,,US,2004-2009,22-Jan-2010,Annual,,,,"Section 9. Federal Government Finances and Employment",http://www.whitehouse.gov/omb/financial/improper_payment_dataset/,Array,<1MB,,,,"Office of Management and Budget","Office of Management and Budget, Executive Office of the President",omb-eop-gov,"Raw Data Catalog",Administrative,http://www.whitehouse.gov/omb/financial_default/,,http://www.whitehouse.gov/omb/financial_default/,http://www.whitehouse.gov/omb/financial/improper_payment_dataset/,,"Agency and Program",,Person/Computer,http://www.whitehouse.gov/omb/circulars/a123/a123_appx-c.pdf,http://www.whitehouse.gov/omb/financial/improper_payment_dataset/,OMB,Yes,Yes,0,,,,,,,,,,,Y,N,Y,,
"USTR 2007 FOIA Log","USTR's 2007 FOIA Log","2007 FOIA Log",2/5/2010,"Executive Office of the President","Scott Krammes",skrammes@ustr.eop.gov,EOP-1627,public,http://www.ustr.gov/about-us/reading-room/freedom-information-act-foia/annual-foia-reports,http://www.ustr.gov/sites/default/files/2007-USTR-FOIA-LOG-100205.csv,csv,,,n/a,"1/1/2007 - 12/31/2007",2/5/2010,annual,,n/a,,"Section 24. Information and Communications",http://www.ustr.gov/about-us/reading-room/freedom-information-act-foia/annual-foia-reports,Array,.015,,,,"US Trade Representative","US Trade Representative, Executive Office of the President",ustr-eop-gov,"Raw Data Catalog",Administrative,http://www.ustr.gov/about-us/reading-room/freedom-information-act-foia/annual-foia-reports,,http://www.ustr.gov,http://www.ustr.gov/about-us/reading-room/freedom-information-act-foia/annual-foia-reports,202-395-9401,Organization,n/a,person/computer,,http://www.ustr.gov/about-us/reading-room/freedom-information-act-foia/annual-foia-reports,"US Trade Representative",Yes,Yes,1,,,,,,,,,,,N,N,N,,
"ARRA NEPA Quarterly Report- First Report: Dept. of Education","Reports prepared by the Departments and Agencies on status of NEPA progress for activities and projects funded under Division A of the American Recovery and Reinvestment Act of 2009","ARRA, NEPA, Report",1/25/2010,"Executive Office of the President","Kate Gastner, 202-395-0826, mgastner@ceq.eop.gov",,EOP-1628,public,N/A,http://ceq.hss.doe.gov/nepa/attachments/Attachment_6B_Education_Apr_30_Sprdsht_v2.xlsm,XLS,,,,"April 2009-May 2009",1/25/2010,Quarterly,,,,"Section 9. Federal Government Finances and Employment",http://ceq.hss.doe.gov/nepa/nepanet.htm,Array,"137 KB",,,,"Council on Environmental Quality","Council on Environmental Quality, Executive Office of the President",ceq-eop-gov,"Raw Data Catalog",Other,http://ceq.hss.doe.gov/nepa/nepanet.htm,,http://nepa.gov,http://ceq.hss.doe.gov/nepa/attachments.htm,,Dollar,,Person/Computer,N/A,N/A,"Council on Environmental Quality",Yes,Yes,0,,,,,,,,,,,N,N,N,,
"ARRA NEPA Quarterly Report- First Report: CNCS","Reports prepared by the Departments and Agencies on status of NEPA progress for activities and projects funded under Division A of the American Recovery and Reinvestment Act of 2009","ARRA, NEPA, Report",1/25/2010,"Executive Office of the President","Kate Gastner, 202-395-0826, mgastner@ceq.eop.gov",,EOP-1629,public,N/A,http://ceq.hss.doe.gov/nepa/attachments/Attachment_18B_CNCS_Apr_30_Sprdsht.xls,XLS,,,,"April 2009-May 2009",1/25/2010,Quarterly,,,,"Section 9. Federal Government Finances and Employment",http://ceq.hss.doe.gov/nepa/nepanet.htm,Array,"1.04 MB",,,,"Council on Environmental Quality","Council on Environmental Quality, Executive Office of the President",ceq-eop-gov,"Raw Data Catalog",Other,http://ceq.hss.doe.gov/nepa/nepanet.htm,,http://nepa.gov,http://ceq.hss.doe.gov/nepa/attachments.htm,,Dollar,,Person/Computer,N/A,N/A,"Council on Environmental Quality",Yes,Yes,0,,,,,,,,,,,N,N,N,,
"Federal Drug Control Budget - Budget Authority by Function, FY2002-FY2010","This data provides Federal drug control funding from 2002 through 2010 by drug control function.","Drug Control, Budget",28-Jan-2010,"Executive Office of the President","Thomas Johnson, Budget Chief  thomas_a._johnson@ondcp.eop.gov",,EOP-1933,public,N/A,http://www.whitehousedrugpolicy.gov/pdf/Federal_DrugControl_Budget-fy2002-10.xls,XLS,,,N/A,"2002 - 2010",28-Jan-2010,Annual,,,N/A,"Section 9. Federal Government Finances and Employment",N/A,Array,"24 KB",,,,"Office of National Drug Control Policy","Office of National Drug Control Policy, Executive Office of the President",ondcp-eop-gov,"Raw Data Catalog",Other,N/A,,http://www.ondcp.gov/,N/A,,Dollar,,Computer,N/A,N/A,"Office of National Drug Control Policy",Yes,Yes,0,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N,,
"USTR 2008 FOIA Log","USTR's 2008 FOIA Log","USTR 2008 FOIA Log",2/18/2010,"Executive Office of the President","Scott Krammes",skrammes@ustr.eop.gov,EOP-1934,public,http://www.ustr.gov/about-us/reading-room/freedom-information-act-foia/annual-foia-reports,http://www.ustr.gov/sites/default/files/2008-USTR-FOIA-LOG_0.csv,csv,,,n/a,"1/1/2008 - 12/31/2008",2/18/2010,annual,,n/a,,"Section 24. Information and Communications",http://www.ustr.gov/about-us/reading-room/freedom-information-act-foia/annual-foia-reports,Array,.02,,,,"US Trade Representative","US Trade Representative, Executive Office of the President",ustr-eop-gov,"Raw Data Catalog",Administrative,"USTR 2008 FOIA Log",,http://www.ustr.gov/about-us/reading-room/freedom-information-act-foia,http://www.ustr.gov/about-us/reading-room/freedom-information-act-foia/annual-foia-reports,202-395-9401,person,n/a,person/computer,http://www.ustr.gov/about-us/reading-room/freedom-information-act-foia/annual-foia-reports,http://www.ustr.gov/about-us/reading-room/freedom-information-act-foia/annual-foia-reports,"US Trade Representative",Yes,Yes,1,,,,,,,,,,,N,N,N,,
"US Trade Growth and Importance ","This data shows the overall growth and importance of US Trade since 1970","Trade Imports Exports GDP Goods Services ",2/19/2010,"Executive Office of the President","Scott Krammes",skrammes@ustr.eop.gov,EOP-1961,public,http://www.ustr.gov/sites/default/files/uploads/reports/2009/asset_upload_file38_15407.pdf,http://www.ustr.gov/sites/default/files/Dataset%20-%20US%20Trade%20Growth%20and%20Importance.csv,csv,,,Country,"1970 - 2009",2/19/2010,annual,,Country,,Other,http://www.ustr.gov/sites/default/files/uploads/reports/2009/asset_upload_file38_15407.pdf,Array,.02,,,,"US Trade Representative","US Trade Representative, Executive Office of the President",ustr-eop-gov,"Raw Data Catalog",Administrative,http://www.ustr.gov/sites/default/files/uploads/reports/2009/asset_upload_file38_15407.pdf,,www.ustr.gov,http://www.ustr.gov/about-us/press-office/reports-and-publications/2009/2009-trade-policy-agenda-and-2008-annual-report,202-395-9401,Country,,,,http://www.ustr.gov/sites/default/files/uploads/reports/2009/asset_upload_file38_15407.pdf,"US Trade Representative",Yes,Yes,0,,,,,,,,,,,N,N,N,,
"ARRA NEPA Quarterly Report- Second  Report: USDA ARS Report","Reports prepared by the Departments and Agencies on status of NEPA progress for activities and projects funded under Division A of the American Recovery and Reinvestment Act of 2009","ARRA, NEPA, Report",1/25/2010,"Executive Office of the President","Kate Gastner",mgastner@ceq.eop.gov,EOP-2214,public,N/A,http://ceq.hss.doe.gov/nepa/attachments/aug2009/Attach3A2_ARS_NEPA_ARRA_063009_Spreadsheet.xls,XLS,,,"United States","June 2009-August 2009",1/25/2010,Quarterly,,,,"Section 6. Geography and Environment",http://ceq.hss.doe.gov/nepa/nepanet.htm,Array,"740 KB",,,,"Council on Environmental Quality","Council on Environmental Quality, Executive Office of the President",ceq-eop-gov,"Raw Data Catalog",Administrative,http://ceq.hss.doe.gov/nepa/nepanet.htm,,http://nepa.gov/,http://ceq.hss.doe.gov/nepa/reports_congress_Aug2009.htm.,202-395-0826,Dollar,,Person/Computer,N/A,N/A,"Council on Environmental Quality",Yes,Yes,0,,,,,,,,,,,N,N,N,,
"ARRA NEPA Quarterly Report- Second  Report: USDA FSA Report","Reports prepared by the Departments and Agencies on status of NEPA progress for activities and projects funded under Division A of the American Recovery and Reinvestment Act of 2009","ARRA, NEPA, Report",1/25/2010,"Executive Office of the President","Kate Gastner",mgastner@ceq.eop.gov,EOP-2215,public,N/A,http://ceq.hss.doe.gov/nepa/attachments/aug2009/Attach3C2_FNS_NEPA_ARRA_063009_Spreadsheet.xls,XLS,,,"United States","June 2009-August 2009",1/25/2010,Quarterly,,,,"Section 6. Geography and Environment",http://ceq.hss.doe.gov/nepa/nepanet.htm,Array,"114 KB",,,,"Council on Environmental Quality","Council on Environmental Quality, Executive Office of the President",ceq-eop-gov,"Raw Data Catalog",Administrative,http://ceq.hss.doe.gov/nepa/nepanet.htm,,http://nepa.gov/,http://ceq.hss.doe.gov/nepa/reports_congress_Aug2009.htm.,202-395-0826,Dollar,,Person/Computer,N/A,N/A,"Council on Environmental Quality",Yes,Yes,0,,,,,,,,,,,N,N,N,,
