title,description,keyword,modified,publisher,person,mbox,identifier,accessLevel,dataDictionary,accessURL,format,webService,license,spatial,temporal,issued,accrualPeriodicity,language,granularity,dataQuality,theme,references,distribution,size,landingPage,feed,systemOfRecords,subagency,organizationName,organizationId,category,categoryDesignation,bibliographicCitation,comments,agencyProgramURL,agencyDataSeriesURL,phone,analysisUnit,additionalMetadata,collectionMode,collectionInstrument,dictionaryList,QualityResponsibleAgency,guidelineCompliance,confidentiality,numberOfDatasets,licenseRequirement,statisticalMethodology,sampling,estimation,weighting,disclosureAvoidance,questionnaireDesign,seriesBreaks,nonResponseAdjustment,seasonalAdjustment,isOGD,isAgencyOGD,isHighValue,reasonBeingHighValue,reasonBeingNew
"U.S. Air Force Commentaries","An RSS feed documenting commentaries by Air Force personnel on a variety of topics. ","DoD, Defense, Defence, Air Force, USAF, military, pentagon, plane, airplane, aircraft, flight, pilot, commentaries",,"Department of Defense","Director of Public Web, Defense Media Activity, Office of the Assistant Secretary of Defense for Public Affairs, pubwebhd@dma.mil, 703-325-8241",,DOD-485,public,,http://www.af.mil/rss/TopStoriesByCategory.asp?catId=701,RSS,,,International,,,"As occurring",,,,"Section 10. National Security and Veterans Affairs",,Array,"20 KB",,,,,"Department of Defense",dod-gov,"Tool Catalog",Administrative,,,"<a href=""http://www.af.mil/"">http://www.af.mil/</a>","<a href=""http://www.af.mil/rss/"">http://www.af.mil/rss/</a>",,N/A,,,,,"U.S. Department of Defense",Yes,Yes,0,,,,,,,,,,,N,N,N,,
"U.S. Air Force Dignified Transfer News","An RSS feed documenting Air Force news stories related to the dignified transfer of fallen servicemembers.","DoD, Defense, Defence, Air Force, USAF, military, news, pentagon, plane, airplane, aircraft, flight, pilot, dignified transfer",,"Department of Defense","Director of Public Web, Defense Media Activity, Office of the Assistant Secretary of Defense for Public Affairs, pubwebhd@dma.mil, 703-325-8242",,DOD-486,public,,http://www.af.mil/rss/TopStoriesByCategory.asp?catId=654,RSS,,,International,,,"As occurring",,,,"Section 10. National Security and Veterans Affairs",,Array,"20 KB",,,,,"Department of Defense",dod-gov,"Tool Catalog",Administrative,,,"<a href=""http://www.af.mil/"">http://www.af.mil/</a>","<a href=""http://www.af.mil/rss/"">http://www.af.mil/rss/</a>",,N/A,,,,,"U.S. Department of Defense",Yes,Yes,0,,,,,,,,,,,N,N,N,,
"U.S. Air Force Diversity News","An RSS feed documenting Air Force news stories related to diversity issues. ","DoD, Defense, Defence, Air Force, USAF, military, news, pentagon, plane, airplane, aircraft, flight, pilot, diversity",,"Department of Defense","Director of Public Web, Defense Media Activity, Office of the Assistant Secretary of Defense for Public Affairs, pubwebhd@dma.mil, 703-325-8243",,DOD-487,public,,http://www.af.mil/rss/TopStoriesByCategory.asp?catId=648,RSS,,,International,,,"As occurring",,,,"Section 10. National Security and Veterans Affairs",,Array,"20 KB",,,,,"Department of Defense",dod-gov,"Tool Catalog",Administrative,,,"<a href=""http://www.af.mil/"">http://www.af.mil/</a>","<a href=""http://www.af.mil/rss/"">http://www.af.mil/rss/</a>",,N/A,,,,,"U.S. Department of Defense",Yes,Yes,0,,,,,,,,,,,N,N,N,,
"U.S. Air Force Environmental News","An RSS feed documenting Air Force news stories related to environmental issues. ","DoD, Defense, Defence, Air Force, USAF, military, news, pentagon, plane, airplane, aircraft, flight, pilot, environment, climate, pollution",,"Department of Defense","Director of Public Web, Defense Media Activity, Office of the Assistant Secretary of Defense for Public Affairs, pubwebhd@dma.mil, 703-325-8244",,DOD-488,public,,http://www.af.mil/rss/TopStoriesByCategory.asp?catId=455,RSS,,,International,,,"As occurring",,,,"Section 10. National Security and Veterans Affairs",,Array,"20 KB",,,,,"Department of Defense",dod-gov,"Tool Catalog",Administrative,,,"<a href=""http://www.af.mil/"">http://www.af.mil/</a>","<a href=""http://www.af.mil/rss/"">http://www.af.mil/rss/</a>",,N/A,,,,,"U.S. Department of Defense",Yes,Yes,0,,,,,,,,,,,N,N,N,,
"U.S. Air Force  Expeditionary Operations News","An RSS feed documenting Air Force new stories related to expeditionary operations.","DoD, Defense, Defence, Air Force, USAF, military, news, pentagon, plane, airplane, aircraft, flight, pilot, expeditionary operations",,"Department of Defense","Director of Public Web, Defense Media Activity, Office of the Assistant Secretary of Defense for Public Affairs, pubwebhd@dma.mil, 703-325-8245",,DOD-489,public,,http://www.af.mil/rss/TopStoriesByCategory.asp?catId=4,RSS,,,International,,,"As occurring",,,,"Section 10. National Security and Veterans Affairs",,Array,"20 KB",,,,,"Department of Defense",dod-gov,"Tool Catalog",Administrative,,,"<a href=""http://www.af.mil/"">http://www.af.mil/</a>","<a href=""http://www.af.mil/rss/"">http://www.af.mil/rss/</a>",,N/A,,,,,"U.S. Department of Defense",Yes,Yes,0,,,,,,,,,,,N,N,N,,
"U.S. Air Force Features","An RSS feed documenting Air Force feature news stories.","DoD, Defense, Defence, Air Force, USAF, military, news, pentagon, plane, airplane, aircraft, flight, pilot, features",,"Department of Defense","Director of Public Web, Defense Media Activity, Office of the Assistant Secretary of Defense for Public Affairs, pubwebhd@dma.mil, 703-325-8246",,DOD-490,public,,http://www.af.mil/rss/TopStoriesByCategory.asp?catId=702,RSS,,,International,,,"As occurring",,,,"Section 10. National Security and Veterans Affairs",,Array,"20 KB",,,,,"Department of Defense",dod-gov,"Tool Catalog",Administrative,,,"<a href=""http://www.af.mil/"">http://www.af.mil/</a>","<a href=""http://www.af.mil/rss/"">http://www.af.mil/rss/</a>",,N/A,,,,,"U.S. Department of Defense",Yes,Yes,0,,,,,,,,,,,N,N,N,,
"U.S. Air Force Heritage News","An RSS feed documenting Air Force news stories related to Air Force heritage.","DoD, Defense, Defence, Air Force, USAF, military, news, pentagon, plane, airplane, aircraft, flight, pilot, heritage, tradition",,"Department of Defense","Director of Public Web, Defense Media Activity, Office of the Assistant Secretary of Defense for Public Affairs, pubwebhd@dma.mil, 703-325-8247",,DOD-491,public,,http://www.af.mil/rss/TopStoriesByCategory.asp?catId=129,RSS,,,International,,,"As occurring",,,,"Section 10. National Security and Veterans Affairs",,Array,"20 KB",,,,,"Department of Defense",dod-gov,"Tool Catalog",Administrative,,,"<a href=""http://www.af.mil/"">http://www.af.mil/</a>","<a href=""http://www.af.mil/rss/"">http://www.af.mil/rss/</a>",,N/A,,,,,"U.S. Department of Defense",Yes,Yes,0,,,,,,,,,,,N,N,N,,
"U.S. Air Force Humanitarian News","An RSS feed documenting Air Force news stories related humanitarian issues.","DoD, Defense, Defence, Air Force, USAF, military, news, pentagon, plane, airplane, aircraft, flight, pilot, humanitarian, human welfare, aid, assistance",,"Department of Defense","Director of Public Web, Defense Media Activity, Office of the Assistant Secretary of Defense for Public Affairs, pubwebhd@dma.mil, 703-325-8248",,DOD-492,public,,http://www.af.mil/rss/TopStoriesByCategory.asp?catId=3,RSS,,,International,,,"As occurring",,,,"Section 10. National Security and Veterans Affairs",,Array,"20 KB",,,,,"Department of Defense",dod-gov,"Tool Catalog",Administrative,,,"<a href=""http://www.af.mil/"">http://www.af.mil/</a>","<a href=""http://www.af.mil/rss/"">http://www.af.mil/rss/</a>",,N/A,,,,,"U.S. Department of Defense",Yes,Yes,0,,,,,,,,,,,N,N,N,,
"U.S. Air Force Mission and Training News","An RSS feed documenting Air Force news stories related to mission and training issues.","DoD, Defense, Defence, Air Force, USAF, military, news, pentagon, plane, airplane, aircraft, flight, pilot, mission, training, operations",,"Department of Defense","Director of Public Web, Defense Media Activity, Office of the Assistant Secretary of Defense for Public Affairs, pubwebhd@dma.mil, 703-325-8249",,DOD-493,public,,http://www.af.mil/rss/TopStoriesByCategory.asp?catId=2,RSS,,,International,,,"As occurring",,,,"Section 10. National Security and Veterans Affairs",,Array,"20 KB",,,,,"Department of Defense",dod-gov,"Tool Catalog",Administrative,,,"<a href=""http://www.af.mil/"">http://www.af.mil/</a>","<a href=""http://www.af.mil/rss/"">http://www.af.mil/rss/</a>",,N/A,,,,,"U.S. Department of Defense",Yes,Yes,0,,,,,,,,,,,N,N,N,,
"U.S. Air Force More AF News Headlines","An RSS feed documenting Air Force news stories appearing in the ""More AF Headlines"" category.","DoD, Defense, Defence, Air Force, USAF, military, news, pentagon, plane, airplane, aircraft, flight, pilot, headlines",,"Department of Defense","Director of Public Web, Defense Media Activity, Office of the Assistant Secretary of Defense for Public Affairs, pubwebhd@dma.mil, 703-325-8250",,DOD-494,public,,http://www.af.mil/rss/TopStoriesByTab.asp?tabId=111869,RSS,,,International,,,"As occurring",,,,"Section 10. National Security and Veterans Affairs",,Array,"20 KB",,,,,"Department of Defense",dod-gov,"Tool Catalog",Administrative,,,"<a href=""http://www.af.mil/"">http://www.af.mil/</a>","<a href=""http://www.af.mil/rss/"">http://www.af.mil/rss/</a>",,N/A,,,,,"U.S. Department of Defense",Yes,Yes,0,,,,,,,,,,,N,N,N,,
"U.S. Air Force More News Headlines","An RSS feed documenting Air Force news stories appearing in the ""More Headlines"" category.","DoD, Defense, Defence, Air Force, USAF, military, news, pentagon, plane, airplane, aircraft, flight, pilot, headlines",,"Department of Defense","Director of Public Web, Defense Media Activity, Office of the Assistant Secretary of Defense for Public Affairs, pubwebhd@dma.mil, 703-325-8251",,DOD-495,public,,http://www.af.mil/rss/TopStoriesByTab.asp?tabId=122,RSS,,,International,,,"As occurring",,,,"Section 10. National Security and Veterans Affairs",,Array,"20 KB",,,,,"Department of Defense",dod-gov,"Tool Catalog",Administrative,,,"<a href=""http://www.af.mil/"">http://www.af.mil/</a>","<a href=""http://www.af.mil/rss/"">http://www.af.mil/rss/</a>",,N/A,,,,,"U.S. Department of Defense",Yes,Yes,0,,,,,,,,,,,N,N,N,,
"U.S. Air Force Personal Matters News","An RSS feed documenting Air Force news stories related to personal issues.","DoD, Defense, Defence, Air Force, USAF, military, news, pentagon, plane, airplane, aircraft, flight, pilot, personal matters",,"Department of Defense","Director of Public Web, Defense Media Activity, Office of the Assistant Secretary of Defense for Public Affairs, pubwebhd@dma.mil, 703-325-8252",,DOD-496,public,,http://www.af.mil/rss/TopStoriesByCategory.asp?catId=5,RSS,,,International,,,"As occurring",,,,"Section 10. National Security and Veterans Affairs",,Array,"20 KB",,,,,"Department of Defense",dod-gov,"Tool Catalog",Administrative,,,"<a href=""http://www.af.mil/"">http://www.af.mil/</a>","<a href=""http://www.af.mil/rss/"">http://www.af.mil/rss/</a>",,N/A,,,,,"U.S. Department of Defense",Yes,Yes,0,,,,,,,,,,,N,N,N,,
"U.S. Air Force Photos","An RSS feed documenting Air Force photos.","DoD, Defense, Defence, Air Force, USAF, military, news, pentagon, plane, airplane, aircraft, flight, pilot, photos, photographs, images, pictures",,"Department of Defense","Director of Public Web, Defense Media Activity, Office of the Assistant Secretary of Defense for Public Affairs, pubwebhd@dma.mil, 703-325-8253",,DOD-497,public,,http://www.af.mil/rss/Photos.asp,RSS,,,International,,,"As occurring",,,,"Section 10. National Security and Veterans Affairs",,Array,"20 KB",,,,,"Department of Defense",dod-gov,"Tool Catalog",Administrative,,,"<a href=""http://www.af.mil/"">http://www.af.mil/</a>","<a href=""http://www.af.mil/rss/"">http://www.af.mil/rss/</a>",,N/A,,,,,"U.S. Department of Defense",Yes,Yes,0,,,,,,,,,,,N,N,N,,
"U.S. Air Force Press Releases","An RSS feed documenting Air Force press releases.","DoD, Defense, Defence, Air Force, USAF, military, news, pentagon, plane, airplane, aircraft, flight, pilot, press release",,"Department of Defense","Director of Public Web, Defense Media Activity, Office of the Assistant Secretary of Defense for Public Affairs, pubwebhd@dma.mil, 703-325-8254",,DOD-498,public,,http://www.af.mil/rss/PressReleases.asp,RSS,,,International,,,"As occurring",,,,"Section 10. National Security and Veterans Affairs",,Array,"20 KB",,,,,"Department of Defense",dod-gov,"Tool Catalog",Administrative,,,"<a href=""http://www.af.mil/"">http://www.af.mil/</a>","<a href=""http://www.af.mil/rss/"">http://www.af.mil/rss/</a>",,N/A,,,,,"U.S. Department of Defense",Yes,Yes,0,,,,,,,,,,,N,N,N,,
"U.S. Air Force Space and Technology News","An RSS feed documenting Air Force news stories related to space and technology issues.","DoD, Defense, Defence, Air Force, USAF, military, news, pentagon, plane, airplane, aircraft, flight, pilot, space, technology, science, research, innovation",,"Department of Defense","Director of Public Web, Defense Media Activity, Office of the Assistant Secretary of Defense for Public Affairs, pubwebhd@dma.mil, 703-325-8255",,DOD-499,public,,http://www.af.mil/rss/TopStoriesByCategory.asp?catId=6,RSS,,,International,,,"As occurring",,,,"Section 10. National Security and Veterans Affairs",,Array,"20 KB",,,,,"Department of Defense",dod-gov,"Tool Catalog",Administrative,,,"<a href=""http://www.af.mil/"">http://www.af.mil/</a>","<a href=""http://www.af.mil/rss/"">http://www.af.mil/rss/</a>",,N/A,,,,,"U.S. Department of Defense",Yes,Yes,0,,,,,,,,,,,N,N,N,,
"U.S. Air Force Sports and Recreation News","An RSS feed documenting Air Force news stories related to sports and recreation issues.","DoD, Defense, Defence, Air Force, USAF, military, news, pentagon, plane, airplane, aircraft, flight, pilot, sports, recreation, games, athlete, athletics, competition",,"Department of Defense","Director of Public Web, Defense Media Activity, Office of the Assistant Secretary of Defense for Public Affairs, pubwebhd@dma.mil, 703-325-8256",,DOD-500,public,,http://www.af.mil/rss/TopStoriesByCategory.asp?catId=1,RSS,,,International,,,"As occurring",,,,"Section 10. National Security and Veterans Affairs",,Array,"20 KB",,,,,"Department of Defense",dod-gov,"Tool Catalog",Administrative,,,"<a href=""http://www.af.mil/"">http://www.af.mil/</a>","<a href=""http://www.af.mil/rss/"">http://www.af.mil/rss/</a>",,N/A,,,,,"U.S. Department of Defense",Yes,Yes,0,,,,,,,,,,,N,N,N,,
"U.S. Air Force Today's News","An RSS feed documenting top Air Force news stories of the day.","DoD, Defense, Defence, Air Force, USAF, military, news, pentagon, plane, airplane, aircraft, flight, pilot, today, recent, headline",,"Department of Defense","Director of Public Web, Defense Media Activity, Office of the Assistant Secretary of Defense for Public Affairs, pubwebhd@dma.mil, 703-325-8257",,DOD-501,public,,http://www.af.mil/rss/TopStoriesByTab.asp?tabId=152,RSS,,,International,,,"As occurring",,,,"Section 10. National Security and Veterans Affairs",,Array,"20 KB",,,,,"Department of Defense",dod-gov,"Tool Catalog",Administrative,,,"<a href=""http://www.af.mil/"">http://www.af.mil/</a>","<a href=""http://www.af.mil/rss/"">http://www.af.mil/rss/</a>",,N/A,,,,,"U.S. Department of Defense",Yes,Yes,0,,,,,,,,,,,N,N,N,,
"U.S. Air Force Top News Stories","An RSS feed documenting top Air Force news stories.","DoD, Defense, Defence, Air Force, USAF, military, news, pentagon, plane, airplane, aircraft, flight, pilot, today, recent, headline, top",,"Department of Defense","Director of Public Web, Defense Media Activity, Office of the Assistant Secretary of Defense for Public Affairs, pubwebhd@dma.mil, 703-325-8258",,DOD-502,public,,http://www.af.mil/rss/TopStoriesByCategory.asp?catId=680,RSS,,,International,,,"As occurring",,,,"Section 10. National Security and Veterans Affairs",,Array,"20 KB",,,,,"Department of Defense",dod-gov,"Tool Catalog",Administrative,,,"<a href=""http://www.af.mil/"">http://www.af.mil/</a>","<a href=""http://www.af.mil/rss/"">http://www.af.mil/rss/</a>",,N/A,,,,,"U.S. Department of Defense",Yes,Yes,0,,,,,,,,,,,N,N,N,,
"U.S. Air Force Warrior Care News","An RSS feed documenting Air Force news stories related to warrior care.","DoD, Defense, Defence, Air Force, USAF, military, news, pentagon, plane, airplane, aircraft, flight, pilot, warrior, care, health, wounded",,"Department of Defense","Director of Public Web, Defense Media Activity, Office of the Assistant Secretary of Defense for Public Affairs, pubwebhd@dma.mil, 703-325-8259",,DOD-503,public,,http://www.af.mil/rss/TopStoriesByCategory.asp?catId=566,RSS,,,International,,,"As occurring",,,,"Section 10. National Security and Veterans Affairs",,Array,"20 KB",,,,,"Department of Defense",dod-gov,"Tool Catalog",Administrative,,,"<a href=""http://www.af.mil/"">http://www.af.mil/</a>","<a href=""http://www.af.mil/rss/"">http://www.af.mil/rss/</a>",,N/A,,,,,"U.S. Department of Defense",Yes,Yes,0,,,,,,,,,,,N,N,N,,
"U.S. Air Force Spotlights Videos","An RSS feed documenting Air Force video clips on the ""Spotlights"" video channel.","DoD, Defense, Defence, Air Force, USAF, military, pentagon, plane, airplane, aircraft, flight, pilot, video, spotlights",,"Department of Defense","Director of Public Web, Defense Media Activity, Office of the Assistant Secretary of Defense for Public Affairs, pubwebhd@dma.mil, 703-325-8260",,DOD-504,public,,http://www.af.mil/shared/xml/rssVideo.asp?mrsstype=1&cid=9,RSS,,,International,,,"As occurring",,,,"Section 10. National Security and Veterans Affairs",,Array,"20 KB",,,,,"Department of Defense",dod-gov,"Tool Catalog",Administrative,,,"<a href=""http://www.af.mil/"">http://www.af.mil/</a>","<a href=""http://www.af.mil/rss/"">http://www.af.mil/rss/</a>",,N/A,,,,,"U.S. Department of Defense",Yes,Yes,0,,,,,,,,,,,N,N,N,,
"U.S. Air Force Aircraft Spotlights Videos","An RSS feed documenting Air Force video clips on the ""Aircraft Spotlights"" video channel.","DoD, Defense, Defence, Air Force, USAF, military, pentagon, plane, airplane, aircraft, flight, pilot, video, spotlights",,"Department of Defense","Director of Public Web, Defense Media Activity, Office of the Assistant Secretary of Defense for Public Affairs, pubwebhd@dma.mil, 703-325-8261",,DOD-505,public,,http://www.af.mil/shared/xml/rssVideo.asp?mrsstype=1&cid=1,RSS,,,International,,,"As occurring",,,,"Section 10. National Security and Veterans Affairs",,Array,"20 KB",,,,,"Department of Defense",dod-gov,"Tool Catalog",Administrative,,,"<a href=""http://www.af.mil/"">http://www.af.mil/</a>","<a href=""http://www.af.mil/rss/"">http://www.af.mil/rss/</a>",,N/A,,,,,"U.S. Department of Defense",Yes,Yes,0,,,,,,,,,,,N,N,N,,
